	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
202	The best there is are days when the jigsaw assumes its own meaning and I no longer care what picture is emerging.	assumes	9			jigsaw	8	{'Number': 'Sing', 'lemma': 'jigsaw'}	NOUN	assumes	9	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'assume'}	VERB	1	[]	{'sent_id': 'en_lines-ud-train-doc8-3032', 'text': 'The best there is are days when the jigsaw assumes its own meaning and I no longer care what picture is emerging.', 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}	assume	3 -> 1	The best there is are days when the jigsaw	The best there is are days when the jigsaw assume its own meaning and I no longer care what picture is emerging.	[]	[]	0	0	0	False	False	False	3.036069154041112e-05	SV-P	eng	3	1	SV	verb	+	[-5.161569595336914, -8.89276123046875, -0.6850290298461914, -7.703197002410889, -8.537738800048828, -5.4768500328063965, -2.006509780883789, -6.192023277282715, -4.2026214599609375, -0.694249153137207, -2.682332992553711, -10.997462272644043, -0.9459371566772461, -4.177613258361816, -8.46049976348877, -2.7699689865112305, -8.092214584350586, -3.328248977661133, -7.224636077880859, -8.868353843688965, -0.11031627655029297, -6.612796783447266, -5.556424617767334, -11.818549156188965, -2.897739887237549, -8.901819229125977, -1.9455232620239258, -0.21445369720458984, -12.326288223266602]	[-5.161569595336914, -8.89276123046875, -0.6850290298461914, -7.703197002410889, -8.537738800048828, -5.4768500328063965, -2.006509780883789, -6.192023277282715, -4.2026214599609375, -0.694249153137207, -2.682332992553711, -10.997462272644043, -4.054024696350098, -8.904410362243652, -2.8489370346069336, -9.017504692077637, -4.046213150024414, -6.351874351501465, -8.795141220092773, -0.08931541442871094, -6.510517597198486, -4.54371452331543, -12.017358779907227, -2.562497138977051, -9.152103424072266, -2.0107946395874023, -0.3388690948486328, -13.000127792358398]	157.48373413085938	157.47573852539062	-0.00799560546875
203	The purpose of these CRTC hearings is to field responses from industry stakeholders and the public.	is	6			purpose	1	{'Number': 'Sing', 'lemma': 'purpose'}	NOUN	is	6	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	5	[]	{'newdoc id': 'n01055', 'sent_id': 'n01055008', 'text': 'The purpose of these CRTC hearings is to field responses from industry stakeholders and the public.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	am	3 -> 1	The purpose of these CRTC hearings	The purpose of these CRTC hearings am to field responses from industry stakeholders and the public.	[]	[]	0	0	0	False	False	False	2.267194498147583e-06	SV-P	eng	3	1	SV	verb	+	[-7.306248188018799, -0.772191047668457, -4.080775737762451, -8.473834037780762, -5.079836845397949, -3.347409725189209, -10.509135246276855, -1.1314573287963867, -3.230029582977295, -3.220060348510742, -12.72144603729248, -8.739027976989746, -2.3930654525756836, -4.004081726074219, -9.247859001159668, -7.266258239746094, -5.849018573760986, -3.6594033241271973, -1.0470914840698242, -2.476984977722168, -3.39864444732666, -4.572769641876221, -9.708322525024414]	[-7.306248188018799, -0.772191047668457, -4.080775737762451, -8.473834037780762, -5.079836845397949, -3.347409725189209, -10.509135246276855, -1.1314573287963867, -11.164024353027344, -8.097558975219727, -12.120194435119629, -10.60920238494873, -1.6940784454345703, -3.950896739959717, -9.163045883178711, -7.226188659667969, -5.997113227844238, -3.274575710296631, -1.5670509338378906, -2.535989761352539, -3.3946027755737305, -4.538837432861328, -9.63298225402832]	122.23494720458984	135.667236328125	13.432289123535156
204	The mycelium infuses all landscapes, it holds soils together, it's extremely tenacious.	holds	7			it	6	{'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'it'}	PRON	holds	7	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hold'}	VERB	1	[]	"{'sent_id': 'en_partut-ud-877', 'text': ""The mycelium infuses all landscapes, it holds soils together, it's extremely tenacious."", 'treebank': 'UD_English-ParTUT/en_partut-ud-dev.conllu'}"	hold	3 -> 1	The mycelium infuses all landscapes, it	The mycelium infuses all landscapes, it hold soils together, it's extremely tenacious.	[]	[]	0	0	0	False	False	False	2.3719290265946186e-07	SV-P	eng	3	1	SV	verb	+	[-7.596551895141602, -4.525790691375732, -1.8444981575012207, -8.991860389709473, -7.079133033752441, -2.221737861633301, -6.972090244293213, -9.327719688415527, -2.709728240966797, -0.2431354522705078, -14.743300437927246, -9.79869556427002, -6.6547675132751465, -0.42776012420654297, -5.423457145690918, -7.948087692260742, -5.524141311645508, -12.607172966003418, -11.563125610351562, -3.736268997192383, -6.994688510894775, -9.244330406188965, -5.373807430267334, -2.0720815658569336, -12.679459571838379]	[-7.596551895141602, -4.525790691375732, -1.8444981575012207, -8.991860389709473, -7.079133033752441, -2.221737861633301, -6.972090244293213, -9.327719688415527, -2.709728240966797, -0.2431354522705078, -14.743300437927246, -9.79869556427002, -6.6547675132751465, -6.197409152984619, -8.329015731811523, -5.639645576477051, -12.940305709838867, -11.936685562133789, -3.335118293762207, -7.00771427154541, -9.482629776000977, -5.424289226531982, -2.092923164367676, -12.790606498718262]	166.3033905029297	167.88534545898438	1.5819549560546875
205	To a certain extent, this reminds me of my previous activity in the Committee on Budgets and in the Committee on Budgetary Control.	reminds	6			this	5	{'Number': 'Sing', 'PronType': 'Dem', 'lemma': 'this'}	PRON	reminds	6	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'remind'}	VERB	1	[]	{'sent_id': 'en_lines-ud-test-doc5-4772', 'text': 'To a certain extent, this reminds me of my previous activity in the Committee on Budgets and in the Committee on Budgetary Control.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	remind	3 -> 1	To a certain extent, this	To a certain extent, this remind me of my previous activity in the Committee on Budgets and in the Committee on Budgetary Control.	[]	[]	0	0	0	False	False	False	9.108207462123332e-06	SV-P	eng	3	1	SV	verb	+	[-5.146805286407471, -4.222679615020752, -6.1507134437561035, -1.1868715286254883, -10.265571594238281, -8.670979499816895, -9.444886207580566, -1.9282941818237305, -0.4641141891479492, -0.4212074279785156, -2.68890380859375, -6.584814071655273, -2.413179397583008, -7.886186599731445, -3.506256103515625, -1.3825407028198242, -8.786053657531738, -1.4304752349853516, -0.014768600463867188, -5.4420318603515625, -5.922187328338623, -3.4387965202331543, -2.3472938537597656, -2.8574934005737305, -3.2797937393188477, -5.4811811447143555, -1.4753141403198242, -7.668567657470703, -2.1536054611206055, -0.0076427459716796875, -5.554415225982666, -5.282658100128174, -3.7569780349731445, -1.7869501113891602, -5.986056327819824, -8.868016242980957, -0.5535964965820312, -9.120573043823242]	[-5.146805286407471, -4.222679615020752, -6.1507134437561035, -1.1868715286254883, -10.265571594238281, -8.670979499816895, -9.444886207580566, -4.066747665405273, -0.3350677490234375, -2.7423954010009766, -6.811985015869141, -2.071518898010254, -8.284357070922852, -3.317230224609375, -1.3845109939575195, -8.535449028015137, -1.8768625259399414, -0.0128936767578125, -5.474874973297119, -5.948359966278076, -3.4850568771362305, -2.2828636169433594, -3.0974416732788086, -3.0645065307617188, -5.752880096435547, -1.5842809677124023, -7.670751571655273, -2.3634872436523438, -0.0077190399169921875, -5.303287029266357, -5.4785590171813965, -3.928196430206299, -2.1739425659179688, -5.635408401489258, -8.92023754119873, -0.4922981262207031, -8.988924026489258]	163.57846069335938	166.1805877685547	2.6021270751953125
206	"""The book -- I guess one way, one thing to think about it is -- one of the themes would be, I was given a charge to keep."	is	15			thing	10	{'Number': 'Sing', 'lemma': 'thing'}	NOUN	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	5	[]	"{'sent_id': 'weblog-blogspot.com_tacitusproject_20040712123425_ENG_20040712_123425-0034', 'text': '""The book -- I guess one way, one thing to think about it is -- one of the themes would be, I was given a charge to keep.', 'treebank': 'UD_English-EWT/en_ewt-ud-dev.conllu'}"	'm	3 -> 1	"""The book -- I guess one way, one thing to think about it"	"""The book -- I guess one way, one thing to think about it 'm -- one of the themes would be, I was given a charge to keep."	[]	[]	0	0	0	False	False	False	2.267194498147583e-06	SV-P	eng	3	1	SV	verb	+	[-9.737521171569824, -7.327245235443115, -7.7551751136779785, -2.9100775718688965, -5.866069793701172, -5.930911064147949, -5.381738662719727, -11.810099601745605, -10.264561653137207, -4.86346435546875, -3.456423759460449, -2.7717742919921875, -0.3815279006958008, -2.22141170501709, -4.908810615539551, -4.2583417892456055, -5.545097351074219, -0.6665515899658203, -0.7345466613769531, -7.6899614334106445, -3.01987886428833, -7.075131416320801, -1.9607295989990234, -12.676170349121094, -8.603842735290527, -3.9881067276000977, -4.991948127746582, -2.5747671127319336, -8.063530921936035, -2.4421463012695312, -4.823968887329102, -12.743104934692383]	[-9.737521171569824, -7.327245235443115, -7.7551751136779785, -2.9100775718688965, -5.866069793701172, -5.930911064147949, -5.381738662719727, -11.810099601745605, -10.264561653137207, -4.86346435546875, -3.456423759460449, -2.7717742919921875, -0.3815279006958008, -2.22141170501709, -9.989562034606934, -7.338340759277344, -3.8079824447631836, -4.907674312591553, -1.0426521301269531, -0.8801469802856445, -7.447895050048828, -3.18753719329834, -5.571994304656982, -1.875779151916504, -12.892926216125488, -8.4771728515625, -4.7036943435668945, -5.131783485412598, -2.6065540313720703, -8.324407577514648, -2.612290859222412, -4.929169654846191, -13.018574714660645]	177.44464111328125	189.42413330078125	11.9794921875
207	The purpose of these CRTC hearings is to field responses from industry stakeholders and the public.	is	6			purpose	1	{'Number': 'Sing', 'lemma': 'purpose'}	NOUN	is	6	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	5	[]	{'newdoc id': 'n01055', 'sent_id': 'n01055008', 'text': 'The purpose of these CRTC hearings is to field responses from industry stakeholders and the public.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	'm	3 -> 1	The purpose of these CRTC hearings	The purpose of these CRTC hearings 'm to field responses from industry stakeholders and the public.	[]	[]	0	0	0	False	False	False	2.267194498147583e-06	SV-P	eng	3	1	SV	verb	+	[-7.306247234344482, -0.772191047668457, -4.080776214599609, -8.473833084106445, -5.079837322235107, -3.3474111557006836, -10.509134292602539, -1.1314573287963867, -3.230030059814453, -3.220059394836426, -12.721446990966797, -8.73902702331543, -2.3930673599243164, -4.004081726074219, -9.247858047485352, -7.26625919342041, -5.8490166664123535, -3.6594057083129883, -1.0470905303955078, -2.4769859313964844, -3.398643970489502, -4.572770118713379, -9.70832347869873]	[-7.306247234344482, -0.772191047668457, -4.080776214599609, -8.473833084106445, -5.079837322235107, -3.3474111557006836, -10.509134292602539, -1.1314573287963867, -9.584338188171387, -7.3716630935668945, -6.751951694488525, -12.335286140441895, -11.66355037689209, -1.6110649108886719, -4.982030868530273, -8.90595817565918, -7.027313232421875, -5.977124214172363, -3.1463093757629395, -1.2607536315917969, -2.715163230895996, -3.553647994995117, -4.407756805419922, -9.24229621887207]	122.23497009277344	141.23709106445312	19.002120971679688
208	The problem is that the rate drops sharply from 71% to 57% among women in their 30's, as inflexible working environments and a lack of affordable childcare undermine their ability to continue investing in their careers.	drops	6			rate	5	{'Number': 'Sing', 'lemma': 'rate'}	NOUN	drops	6	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'drop'}	VERB	1	[]	"{'sent_id': 'en_partut-ud-1341', 'text': ""The problem is that the rate drops sharply from 71% to 57% among women in their 30's, as inflexible working environments and a lack of affordable childcare undermine their ability to continue investing in their careers."", 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu'}"	drop	3 -> 1	The problem is that the rate	The problem is that the rate drop sharply from 71% to 57% among women in their 30's, as inflexible working environments and a lack of affordable childcare undermine their ability to continue investing in their careers.	[]	[]	0	0	0	False	False	False	2.277051865530833e-05	SV-P	eng	3	1	SV	verb	+	[-4.898331642150879, -0.572850227355957, -0.9675168991088867, -1.995314598083496, -7.330286502838135, -9.879539489746094, -0.4504814147949219, -12.174165725708008, -4.5837602615356445, -9.849936485290527, -8.53441333770752, -4.505129337310791, -11.464869499206543, -4.754018306732178, -4.841967582702637, -3.271529197692871, -11.990530014038086, -8.911231994628906, -5.980522155761719, -2.3042068481445312, -4.300320625305176, -7.709343433380127, -9.505216598510742, -8.007116317749023, -13.028818130493164, -9.374279022216797, -4.431561470031738, -0.12675094604492188, -9.891494750976562, -9.398504257202148, -0.020740509033203125, -3.2057838439941406, -6.2898478507995605, -7.175083637237549, -2.558413505554199, -0.02831745147705078, -10.954254150390625, -0.24615955352783203, -9.170904159545898, -6.144697189331055, -0.09172630310058594, -6.959752559661865, -6.695705413818359, -0.616246223449707, -4.825064659118652, -5.685924530029297, -0.29825496673583984, -6.36991548538208, -8.21031665802002, -4.581951141357422, -0.7371444702148438, -1.406418800354004, -4.030703544616699, -0.2871065139770508, -11.34972095489502]	[-4.898331642150879, -0.572850227355957, -0.9675168991088867, -1.995314598083496, -7.330286502838135, -10.35680866241455, -8.766139030456543, -5.237127304077148, -9.805680274963379, -8.764015197753906, -4.469371318817139, -11.440482139587402, -5.6450347900390625, -4.385625839233398, -3.2306270599365234, -11.654191970825195, -9.387407302856445, -5.870258331298828, -2.465818405151367, -4.703721523284912, -7.478604316711426, -9.027134895324707, -8.424836158752441, -13.46011734008789, -9.503787994384766, -4.188776969909668, -0.20254039764404297, -9.657065391540527, -9.266487121582031, -0.0077266693115234375, -3.2191476821899414, -6.199795722961426, -7.393584251403809, -2.6777496337890625, -0.05433177947998047, -9.779380798339844, -0.27152252197265625, -9.156070709228516, -5.68575382232666, -0.07844352722167969, -6.634847640991211, -6.574407577514648, -0.7075328826904297, -5.055001258850098, -5.289337158203125, -0.24379539489746094, -6.339061260223389, -8.055070877075195, -3.89955997467041, -0.7544078826904297, -1.5245866775512695, -4.075743675231934, -0.23170948028564453, -11.481188774108887]	302.97418212890625	298.54571533203125	-4.428466796875
209	Some writers mix the stella maris with the remora, a tiny fish that sticks to the rudder of a vessel and brings it to a halt.	sticks	14			that	13	{'PronType': 'Rel', 'lemma': 'that'}	PRON	sticks	14	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'stick'}	VERB	1	[]	{'sent_id': 'en_lines-ud-dev-doc8-4121', 'text': 'Some writers mix the stella maris with the remora, a tiny fish that sticks to the rudder of a vessel and brings it to a halt.', 'treebank': 'UD_English-LinES/en_lines-ud-dev.conllu'}	stick	3 -> 1	Some writers mix the stella maris with the remora, a tiny fish that	Some writers mix the stella maris with the remora, a tiny fish that stick to the rudder of a vessel and brings it to a halt.	[]	[]	0	0	0	False	False	False	2.396896700558773e-06	SV-P	eng	3	1	SV	verb	+	[-9.104645729064941, -0.2973594665527344, -0.49677085876464844, -10.108695030212402, -6.470937252044678, -4.332056522369385, -7.049903392791748, -3.962273120880127, -9.229191780090332, -7.975293159484863, -7.269281387329102, -1.2898588180541992, -6.60183048248291, -5.700486183166504, -8.382318496704102, -9.462735176086426, -8.109451293945312, -7.064344882965088, -6.901504993438721, -3.3297157287597656, -7.835995197296143, -1.2557554244995117, -3.204709053039551, -0.935145378112793, -5.1397199630737305, -3.651606559753418, -1.2996597290039062, -0.8709163665771484, -2.4089059829711914, -8.910137176513672, -1.3545637130737305, -3.3229589462280273, -8.739312171936035, -1.515324592590332, -1.541041374206543, -3.4478759765625, -6.177803993225098, -3.1628408432006836, -8.580267906188965]	[-9.104645729064941, -0.2973594665527344, -0.49677085876464844, -10.108695030212402, -6.470937252044678, -4.332056522369385, -7.049903392791748, -3.962273120880127, -9.229191780090332, -7.975293159484863, -7.269281387329102, -1.2898588180541992, -6.60183048248291, -5.700486183166504, -8.382318496704102, -9.462735176086426, -8.109451293945312, -7.064344882965088, -6.901504993438721, -3.3297157287597656, -7.835995197296143, -2.219904899597168, -0.8126068115234375, -5.299540042877197, -3.2889413833618164, -0.9443864822387695, -0.8502120971679688, -2.429849624633789, -9.030915260314941, -0.5176773071289062, -3.26802921295166, -8.621675491333008, -1.341379165649414, -1.3796701431274414, -3.5562286376953125, -6.481095314025879, -3.0530033111572266, -9.29672622680664]	196.49322509765625	193.3665008544922	-3.1267242431640625
210	the difference is that when a bomb goes off in a West End restaurant the fundamental right of England to exist is not in dispute.	is	21			right	16	{'Number': 'Sing', 'lemma': 'right'}	NOUN	is	21	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	5	[]	{'sent_id': 'en_lines-ud-train-doc3-1179', 'text': 'the difference is that when a bomb goes off in a West End restaurant the fundamental right of England to exist is not in dispute.', 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}	am	3 -> 1	the difference is that when a bomb goes off in a West End restaurant the fundamental right of England to exist	the difference is that when a bomb goes off in a West End restaurant the fundamental right of England to exist am not in dispute.	[]	[]	0	0	0	False	False	False	2.267194498147583e-06	SV-P	eng	3	1	SV	verb	+	[-9.311494827270508, -1.5367507934570312, -1.9549541473388672, -4.495704650878906, -3.8242874145507812, -5.786992073059082, -2.1395273208618164, -4.2980499267578125, -2.4601449966430664, -3.177398681640625, -1.9755191802978516, -9.081510543823242, -6.8452887535095215, -2.476285934448242, -13.700021743774414, -0.00160980224609375, -7.936365604400635, -9.050814628601074, -1.4115972518920898, -0.019948959350585938, -8.629371643066406, -3.8481006622314453, -6.0607500076293945, -0.1848001480102539, -4.821800231933594, -9.56736946105957, -6.938487529754639, -3.348379135131836, -3.9749393463134766, -9.055767059326172, -2.4336442947387695, -11.435254096984863]	[-9.311494827270508, -1.5367507934570312, -1.9549541473388672, -4.495704650878906, -3.8242874145507812, -5.786992073059082, -2.1395273208618164, -4.2980499267578125, -2.4601449966430664, -3.177398681640625, -1.9755191802978516, -9.081510543823242, -6.8452887535095215, -2.476285934448242, -13.700021743774414, -0.00160980224609375, -7.936365604400635, -9.050814628601074, -1.4115972518920898, -0.019948959350585938, -8.629371643066406, -3.8481006622314453, -6.0607500076293945, -0.1848001480102539, -4.821800231933594, -9.56736946105957, -10.70197582244873, -7.944413185119629, -3.702737808227539, -8.67551326751709, -1.2588348388671875, -10.965986251831055]	161.7829132080078	167.8459014892578	6.06298828125
211	You need a lot of money for hotels, airfare, seeing the sites, food, local transport - you name it but life costs.	costs	25			life	24	{'Number': 'Sing', 'lemma': 'life'}	NOUN	costs	25	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'cost'}	VERB	1	[]	{'sent_id': 'answers-20111108102445AA5mfrq_ans-0035', 'text': 'You need a lot of money for hotels, airfare, seeing the sites, food, local transport - you name it but life costs.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu'}	cost	3 -> 1	You need a lot of money for hotels, airfare, seeing the sites, food, local transport - you name it but life	You need a lot of money for hotels, airfare, seeing the sites, food, local transport - you name it but life cost.	[]	[]	0	0	0	False	False	False	1.8216414924246664e-05	SV-P	eng	3	1	SV	verb	+	[-4.532059669494629, -1.6406993865966797, -2.2521305084228516, -0.5812616348266602, -2.74746036529541, -4.363141059875488, -11.995165824890137, -13.236580848693848, -12.775290489196777, -5.196871757507324, -3.2239770889282227, -10.22095775604248, -13.7233304977417, -2.461113929748535, -8.807941436767578, -11.924910545349121, -13.034693717956543, -10.777817726135254, -11.239797592163086, -4.370978832244873, -7.815211296081543, -7.589691162109375, -7.339784622192383, -2.6925411224365234, -7.007259368896484, -9.452858924865723, -6.931282043457031, -11.631783485412598]	[-4.532059669494629, -1.6406993865966797, -2.2521305084228516, -0.5812616348266602, -2.74746036529541, -4.363141059875488, -11.995165824890137, -13.236580848693848, -12.775290489196777, -5.196871757507324, -3.2239770889282227, -10.22095775604248, -13.7233304977417, -2.461113929748535, -8.807941436767578, -11.924910545349121, -13.034693717956543, -10.777817726135254, -11.239797592163086, -4.370978832244873, -7.815211296081543, -7.589691162109375, -7.339784622192383, -2.6925411224365234, -7.007259368896484, -9.452858924865723, -8.836299896240234, -12.020806312561035]	209.5666046142578	211.8606414794922	2.294036865234375
212	That band is involved in a local competition which promises a $5000 first prize, which they would like to win in order to donate it to the benefit fund which they have started.	promises	9			which	8	{'PronType': 'Rel', 'lemma': 'which'}	PRON	promises	9	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'promise'}	VERB	1	[]	{'sent_id': 'newsgroup-groups.google.com_eHolistic_2dd76f31ceb6bfe8_ENG_20050513_224200-0006', 'text': 'That band is involved in a local competition which promises a $5000 first prize, which they would like to win in order to donate it to the benefit fund which they have started.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu'}	promise	3 -> 1	That band is involved in a local competition which	That band is involved in a local competition which promise a $5000 first prize, which they would like to win in order to donate it to the benefit fund which they have started.	[]	[]	0	0	0	False	False	False	2.277051865530833e-05	SV-P	eng	3	1	SV	verb	+	[-9.87946605682373, -2.801894187927246, -8.317278861999512, -1.9543094635009766, -2.530129909515381, -6.725006103515625, -8.16767406463623, -0.1903400421142578, -6.785757541656494, -7.506913661956787, -1.7519493103027344, -4.519157886505127, -7.753994941711426, -8.873687744140625, -8.355586051940918, -7.816088676452637, -6.27243709564209, -2.3696889877319336, -12.952086448669434, -11.231792449951172, -4.071145057678223, -3.988736152648926, -3.4746131896972656, -0.38135719299316406, -7.881396770477295, -2.9576058387756348, -3.7414894104003906, -1.0019102096557617, -9.512889862060547, -0.3130207061767578, -4.527670860290527, -3.884171485900879, -3.7034053802490234, -6.727717876434326, -0.49727344512939453, -11.2965669631958, -8.139782905578613, -1.2805290222167969, -3.649909019470215, -6.105262279510498, -11.371371269226074]	[-9.87946605682373, -2.801894187927246, -8.317278861999512, -1.9543094635009766, -2.530129909515381, -6.725006103515625, -8.16767406463623, -0.1903400421142578, -6.785757541656494, -11.066203117370605, -5.681633472442627, -8.7662935256958, -9.310331344604492, -8.74129581451416, -7.857753753662109, -6.788389682769775, -2.4607419967651367, -12.719632148742676, -10.55413818359375, -4.965853691101074, -3.7249679565429688, -3.5958290100097656, -0.3241443634033203, -7.695511817932129, -2.834359645843506, -3.8603124618530273, -1.1235198974609375, -9.389156341552734, -0.31534576416015625, -4.630336761474609, -3.6843605041503906, -4.684469223022461, -6.848382472991943, -0.6235818862915039, -11.387321472167969, -7.89713191986084, -1.2184228897094727, -3.488968849182129, -5.941473007202148, -11.349924087524414]	225.26309204101562	230.88165283203125	5.618560791015625
213	She is just being friendly in public because she does not want to offend you and she treats you like any other friend.	treats	17			she	16	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'she'}	PRON	treats	17	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'treat', 'Gender': 'Fem'}	VERB	1	[]	{'sent_id': 'answers-20111108082831AAco5PI_ans-0023', 'text': 'She is just being friendly in public because she does not want to offend you and she treats you like any other friend.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu'}	treat	3 -> 1|2	She is just being friendly in public because she does not want to offend you and she	She is just being friendly in public because she does not want to offend you and she treat you like any other friend.	[]	[]	0	0	0	False	False	False	1.5180345770205555e-05	SV-P	eng	3	1	SV	verb	+	[-3.6064558029174805, -5.456854343414307, -5.251213073730469, -6.562657833099365, -0.28983116149902344, -3.857789993286133, -7.823709011077881, -6.425511837005615, -1.733846664428711, -4.000194072723389, -2.882256507873535, -3.077983856201172, -0.3906278610229492, -9.012879371643066, -0.037888526916503906, -1.445969581604004, -4.975437641143799, -4.276742935180664, -8.459260940551758, -1.8992834091186523, -2.4847230911254883, -4.233889102935791, -8.795515060424805, -1.212656021118164, -7.836618423461914, -9.840203285217285]	[-3.6064558029174805, -5.456854343414307, -5.251213073730469, -6.562657833099365, -0.28983116149902344, -3.857789993286133, -7.823709011077881, -6.425511837005615, -1.733846664428711, -4.000194072723389, -2.882256507873535, -3.077983856201172, -0.3906278610229492, -9.012879371643066, -0.037888526916503906, -1.445969581604004, -4.975437641143799, -4.276742935180664, -8.459260940551758, -4.637744903564453, -3.1517839431762695, -8.235794067382812, -1.2801380157470703, -7.974506378173828, -10.03604793548584]	115.87001037597656	114.88312530517578	-0.9868850708007812
214	I believe ENE will continue to be range bound, but in case it is not, I do n't want to forgo 50% of my option premium.	is	14			it	13	{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'it'}	PRON	is	14	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Neut'}	AUX	1	[]	"{'sent_id': 'email-enronsent00_01-0015', 'text': ""I believe ENE will continue to be range bound, but in case it is not, I don't want to forgo 50% of my option premium."", 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu'}"	am	3 -> 1	I believe ENE will continue to be range bound, but in case it	I believe ENE will continue to be range bound, but in case it am not, I do n't want to forgo 50% of my option premium.	[]	[]	0	0	0	False	False	False	4.517960050656415e-09	SV-P	eng	3	1	SV	verb	+	[-4.984747886657715, -10.142167091369629, -8.353788375854492, -8.649774551391602, -6.7606611251831055, -0.6863489151000977, -2.348857879638672, -12.634693145751953, -11.561151504516602, -13.271429061889648, -8.129949569702148, -6.532236099243164, -4.63034200668335, -3.6356334686279297, -3.158919334411621, -3.6364307403564453, -13.76909065246582, -7.186285018920898, -4.824130058288574, -9.657125473022461, -10.330326080322266, -2.4065322875976562, -0.31118106842041016, -6.840465545654297, -2.731731414794922, -9.18748664855957, -12.14020824432373, -6.240726470947266, -2.979609966278076, -10.438761711120605, -8.113665580749512, -4.0099287033081055, -0.43262672424316406, -9.454025268554688]	[-4.984747886657715, -10.142167091369629, -8.353788375854492, -8.649774551391602, -6.7606611251831055, -0.6863489151000977, -2.348857879638672, -12.634693145751953, -11.561151504516602, -13.271429061889648, -8.129949569702148, -6.532236099243164, -4.63034200668335, -3.6356334686279297, -10.062280654907227, -4.99708890914917, -12.993155479431152, -6.91749906539917, -5.162458896636963, -9.694219589233398, -10.462780952453613, -2.4331016540527344, -0.3179759979248047, -6.750808238983154, -2.652006149291992, -9.243927001953125, -12.14755916595459, -6.197595596313477, -2.9015822410583496, -10.453878402709961, -8.123673439025879, -3.9337310791015625, -0.4577217102050781, -9.450946807861328]	230.17105102539062	237.67578125	7.504730224609375
